threshold,accuracy,precision,recall,f1,false_alarm_rate,missed_anomaly_rate,alert_rate,positive_rate,roc_auc,pr_auc,dataset,model,target,fit_seconds
0.8194997722750599,0.9918887601390498,0.9684873949579832,0.944672131147541,0.9564315352697096,0.0031982942430703624,0.055327868852459015,0.09192738509076864,0.09424488219389726,0.9888086402491834,0.9668354730152353,validation,logistic_regression,label_current_anomaly,7.765116930007935
0.37453380952726617,0.992468134414832,0.9726315789473684,0.9467213114754098,0.9595015576323987,0.002771855010660981,0.05327868852459016,0.09173426033217459,0.09424488219389726,0.9912078464042007,0.9760252855847943,validation,random_forest,label_current_anomaly,3.4490883350372314
0.42683434174559165,0.9892493884382645,0.9814402375649591,0.9030054644808743,0.9405905371753824,0.0017768301350390902,0.09699453551912568,0.08671301660872924,0.09424488219389726,0.9865602704665587,0.963435447615608,validation,extra_trees,label_current_anomaly,1.5211951732635498
0.5278978920867253,0.8477533153083558,0.3352833638025594,0.6263661202185792,0.4367706596808764,0.12921108742004264,0.37363387978142076,0.17606540491824385,0.09424488219389726,0.8452994347155713,0.33535881129313994,validation,isolation_forest_unsupervised,label_current_anomaly,
0.4797553792673699,0.9931762585296768,0.9728412256267409,0.9542349726775956,0.9634482758620689,0.002771855010660981,0.045765027322404374,0.09244238444701944,0.09424488219389726,0.9910452615921175,0.975920495898209,validation,supervised_weighted_ensemble,label_current_anomaly,
0.4914818719457938,0.9931118836101455,0.9721642310368824,0.9542349726775956,0.963116166839021,0.0028429282160625444,0.045765027322404374,0.0925067593665508,0.09424488219389726,0.9901535453101394,0.975423114793179,validation,ensemble,label_current_anomaly,
0.8194997722750599,0.9779657402800483,0.9203539823008849,0.8606896551724138,0.8895224518888097,0.008558522862350424,0.1393103448275862,0.09638211671049826,0.1030634728836449,0.9624909345786732,0.9036269754757392,test,logistic_regression,label_current_anomaly,7.765116930007935
0.37453380952726617,0.979387305423271,0.9354354354354354,0.8593103448275862,0.8957584471603163,0.006815120057056819,0.1406896551724138,0.09467623853863104,0.1030634728836449,0.9590301160537886,0.9251466182140926,test,random_forest,label_current_anomaly,3.4490883350372314
0.42683434174559165,0.9750515317364418,0.9575353871773522,0.7931034482758621,0.8675971331572991,0.0040415246849988115,0.20689655172413793,0.08536498685052242,0.1030634728836449,0.9360159146989623,0.8894181310121995,test,extra_trees,label_current_anomaly,1.5211951732635498
0.5278978920867253,0.8280616959272159,0.3075089392133492,0.5337931034482759,0.39021930930173937,0.13812504952848878,0.46620689655172415,0.1789039732745753,0.1030634728836449,0.7828574863847892,0.30786446652610266,test,isolation_forest_unsupervised,label_current_anomaly,
0.4797553792673699,0.9796716184519155,0.924198250728863,0.8744827586206897,0.8986534372785259,0.008241540534115223,0.12551724137931033,0.0975193688250764,0.1030634728836449,0.9596149211233198,0.9288715942536627,test,supervised_weighted_ensemble,label_current_anomaly,
0.4914818719457938,0.978818679365982,0.9272997032640949,0.8620689655172413,0.8934953538241601,0.007766067041762421,0.13793103448275862,0.09581349065320918,0.1030634728836449,0.9501159444843709,0.9219826628056329,test,ensemble,label_current_anomaly,
