evseId,label_current_anomaly_sum,label_current_anomaly_mean,label_future_anomaly_5min_sum,label_future_anomaly_5min_mean,label_future_anomaly_10min_sum,label_future_anomaly_10min_mean,label_future_anomaly_15min_sum,label_future_anomaly_15min_mean,rows
1,1609,0.08749320282762371,1034,0.05622620989668298,1701,0.09249592169657422,2044,0.111147362697118,18390
2,1906,0.09356897398134512,849,0.041678939617083945,1513,0.07427589592538046,1896,0.0930780559646539,20370
3,1628,0.07842759418055689,817,0.03935831968397726,1417,0.06826283842374024,1864,0.08979670488486367,20758
4,2249,0.10815099783601827,1282,0.061649434960327,2117,0.10180331810531378,2575,0.12382784323154604,20795
5,1741,0.08843399197439936,935,0.047493269670340836,1543,0.07837659369126836,1871,0.09503733428150556,19687
