scenario,label_current_anomaly_sum,label_current_anomaly_mean,label_future_anomaly_5min_sum,label_future_anomaly_5min_mean,label_future_anomaly_10min_sum,label_future_anomaly_10min_mean,label_future_anomaly_15min_sum,label_future_anomaly_15min_mean,rows
communication_dropout,463,0.1918773311230833,412,0.17074181516784087,716,0.2967260671363448,921,0.3816825528387899,2413
current_instability,719,0.23096691294571153,600,0.19274012206874397,1108,0.3559267587536139,1333,0.42820430452939284,3113
efficiency_decline,2774,0.5396887159533074,900,0.17509727626459143,1653,0.32159533073929963,2076,0.4038910505836576,5140
mixed_anomaly,1477,0.47954545454545455,622,0.20194805194805196,1070,0.3474025974025974,1368,0.44415584415584414,3080
normal,0,0.0,0,0.0,0,0.0,0,0.0,76701
sensor_drift,1035,0.34615384615384615,1079,0.36086956521739133,1557,0.5207357859531773,1856,0.6207357859531772,2990
thermal_drift,1856,0.5174240312238639,653,0.1820462782269306,1137,0.31697797602453304,1472,0.4103707833844438,3587
voltage_sag,809,0.2718413978494624,651,0.21875,1050,0.3528225806451613,1224,0.4112903225806452,2976
